member_ID,start_node,end_node,member_length,member_type
BR0090,P080002,P070003,5588.971998,3
BR0091,P070003,P080004,5588.971998,3
BR0092,P080003,P070004,5588.971998,3
BR0093,P070004,P080005,5588.971998,3
BR0094,P080004,P070005,5588.971998,3
BR0095,P070005,P080006,5588.971998,3
BR0096,P080005,P070006,5588.971998,3
BR0097,P080000,P090001,5588.971998,3
BR0098,P090000,P080001,5588.971998,3
BR0099,P080001,P090002,5588.971998,3
BR0100,P090001,P080002,5588.971998,3
BR0101,P080002,P090003,5588.971998,3
BR0102,P090002,P080003,5588.971998,3
BR0103,P080003,P090004,5588.971998,3
BR0104,P090003,P080004,5588.971998,3
BR0105,P080004,P090005,5588.971998,3
BR0106,P090004,P080005,5588.971998,3
BR0107,P080005,P090006,5588.971998,3
BR0108,P090005,P080006,5588.971998,3
BR0109,P090000,P100001,5588.971998,3
BR0110,P100000,P090001,5588.971998,3
BR0111,P090001,P100002,5588.971998,3
BR0112,P100001,P090002,5588.971998,3
BR0113,P090002,P100003,5588.971998,3
BR0114,P100002,P090003,5588.971998,3
BR0115,P090003,P100004,5588.971998,3
BR0116,P100003,P090004,5588.971998,3
BR0117,P090004,P100005,5588.971998,3
BR0118,P100004,P090005,5588.971998,3
BR0119,P090005,P100006,5588.971998,3
BR0120,P100005,P090006,5588.971998,3
BR0121,P100000,P110001,5588.971998,3
BR0122,P110000,P100001,5588.971998,3
BR0123,P100001,P110002,5588.971998,3
BR0124,P110001,P100002,5588.971998,3
BR0125,P100002,P110003,5588.971998,3
BR0126,P110002,P100003,5588.971998,3
BR0127,P100003,P110004,5588.971998,3
BR0128,P110003,P100004,5588.971998,3
BR0129,P100004,P110005,5588.971998,3
BR0130,P110004,P100005,5588.971998,3
BR0131,P100005,P110006,5588.971998,3
BR0132,P110005,P100006,5588.971998,3
BR0133,P110000,P120001,5588.971998,3
BR0134,P120000,P110001,5588.971998,3
BR0135,P110001,P120002,5588.971998,3
BR0136,P120001,P110002,5588.971998,3
BR0137,P110002,P120003,5588.971998,3
BR0138,P120002,P110003,5588.971998,3
BR0139,P110003,P120004,5588.971998,3
BR0140,P120003,P110004,5588.971998,3
BR0141,P110004,P120005,5588.971998,3
BR0142,P120004,P110005,5588.971998,3
BR0143,P110005,P120006,5588.971998,3
BR0144,P120005,P110006,5588.971998,3
