node_ID,X,Y,Z,member_ID,ground?,load_bearing?,U1,U2,U3,R1,R2,R3,remove?,add_back? 
P021221,16341375.57,13442443.38,62197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P021222,16339378.31,13442338.71,62197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P021223,16337381.05,13442234.04,62197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P021321,16341480.24,13440446.12,62197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P021322,16339482.98,13440341.45,62197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P021323,16337485.73,13440236.78,62197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P031119,16345265.42,13444649.98,64197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P031120,16343268.16,13444545.31,64197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P031121,16341270.9,13444440.64,64197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
X00111502,16352255.82,13445016.34,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00111606,16350258.57,13444911.66,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00111610,16350310.9,13443913.03,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00111715,16349312.27,13443860.7,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00111717,16348261.31,13444806.99,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00111721,16348313.64,13443808.36,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00111826,16347315.01,13443756.03,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00111828,16346264.05,13444702.32,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00111832,16346316.38,13443703.69,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00111939,16345317.75,13443651.35,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00111941,16344266.79,13444597.65,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00111945,16344319.12,13443599.02,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00112052,16343320.49,13443546.68,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00112054,16342269.53,13444492.98,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00112058,16342321.87,13443494.35,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00112165,16341323.24,13443442.01,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00112167,16340272.27,13444388.3,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00112171,16340324.61,13443389.67,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00112278,16339325.98,13443337.34,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00112280,16338275.01,13444283.63,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00112284,16338327.35,13443285.0,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00112391,16337328.72,13443232.67,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00112393,16336277.75,13444178.96,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X00112397,16336330.09,13443180.33,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001124103,16335331.46,13443127.99,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001124107,16334332.83,13443075.66,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001217113,16348365.98,13442809.73,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001218119,16346368.72,13442705.06,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001218125,16346421.06,13441706.43,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001219130,16345422.43,13441654.09,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001219132,16344371.46,13442600.39,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001219138,16344423.8,13441601.76,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001220143,16343425.17,13441549.42,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001220145,16342374.2,13442495.72,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001220151,16342426.54,13441497.09,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001221158,16341427.91,13441444.75,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001221160,16340376.94,13442391.04,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001221166,16340429.28,13441392.42,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001222173,16339430.65,13441340.08,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001222175,16338379.68,13442286.37,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001222181,16338432.02,13441287.74,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001223188,16337433.39,13441235.41,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001223190,16336382.42,13442181.7,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001223196,16336434.76,13441183.07,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001224203,16335436.13,13441130.74,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001224205,16334385.17,13442077.03,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001225216,16334437.5,13441078.4,58197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001319220,16344476.13,13440603.13,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001320226,16342478.87,13440498.46,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001321234,16340481.61,13440393.79,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001322242,16338484.36,13440289.11,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X001323250,16336487.1,13440184.44,59197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011115263,16352255.82,13445016.34,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011116267,16350258.57,13444911.66,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011116271,16350310.9,13443913.03,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011117276,16348261.31,13444806.99,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011117280,16348313.64,13443808.36,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011118285,16347315.01,13443756.03,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011118287,16346264.05,13444702.32,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011118291,16346316.38,13443703.69,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011119298,16345317.75,13443651.35,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011119300,16344266.79,13444597.65,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011119304,16344319.12,13443599.02,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011120311,16343320.49,13443546.68,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011120313,16342269.53,13444492.98,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011120317,16342321.87,13443494.35,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011121324,16341323.24,13443442.01,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011121326,16340272.27,13444388.3,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011121330,16340324.61,13443389.67,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011122337,16339325.98,13443337.34,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011122339,16338275.01,13444283.63,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011122343,16338327.35,13443285.0,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011123350,16337328.72,13443232.67,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011123354,16336330.09,13443180.33,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011124359,16336277.75,13444178.96,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011124361,16334332.83,13443075.66,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011217366,16348365.98,13442809.73,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011217368,16349312.27,13443860.7,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011218372,16346368.72,13442705.06,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011218376,16346421.06,13441706.43,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011219381,16344371.46,13442600.39,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011219387,16344423.8,13441601.76,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011220392,16342374.2,13442495.72,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011220398,16342426.54,13441497.09,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011221405,16341427.91,13441444.75,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011221407,16340376.94,13442391.04,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011221413,16340429.28,13441392.42,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011222420,16339430.65,13441340.08,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011222422,16338379.68,13442286.37,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011222428,16338432.02,13441287.74,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011223435,16337433.39,13441235.41,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011223441,16336434.76,13441183.07,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011224447,16336382.42,13442181.7,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011225451,16334437.5,13441078.4,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011319454,16345422.43,13441654.09,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011320457,16342478.87,13440498.46,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011320459,16343425.17,13441549.42,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011321463,16340481.61,13440393.79,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011322469,16338484.36,13440289.11,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X011324481,16336487.1,13440184.44,61197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021117486,16348313.64,13443808.36,62197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021118490,16346264.05,13444702.32,63197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021118492,16346316.38,13443703.69,62197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021119497,16344266.79,13444597.65,63197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021119499,16344319.12,13443599.02,62197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021120506,16342269.53,13444492.98,63197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021120510,16342321.87,13443494.35,62197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021121519,16340324.61,13443389.67,62197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021122525,16340272.27,13444388.3,63197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021122527,16338327.35,13443285.0,62197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021219536,16345317.75,13443651.35,63197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021220539,16343320.49,13443546.68,63197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021220541,16342426.54,13441497.09,62197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021221545,16341323.24,13443442.01,63197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021221547,16340429.28,13441392.42,62197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
X021222551,16338432.02,13441287.74,62197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
