member_ID,Start_Node,End_Node,Governing_Load_Case,P,Mx,My,DC_Ratio
BR0189,P001322,X001222173,0.3 Wind X + Wind -Y,-23042.1630987196,-390399.397521102,22133.0599068246,0.147453678486942
BR0190,P011222,X001222173,0.3 Wind X + Wind -Y,-22779.3402352981,-404657.675481827,-17011.8251752567,0.149949309353676
CO0024,P001323,P011323,1.2D+1.6L,-144444.111200553,-2445615.322226,1738238.24715662,0.445887694816949
BR0191,P001323,X001323250,1.2D+1.6L,-2527.36298791031,-2239340.99298275,32900.7640565655,1.00137848604631
BR0192,P011324,X001323250,1.2D+1.6L,-2207.46077246255,-2238829.37262206,-22016.3855996359,0.462907292465702
BR0193,P001323,X001322242,1.2D+1.6L,-11323.204585288,-2343532.12222039,30505.5789585753,1.07699307881474
BR0194,P011322,X001322242,1.2D+1.6L,-11015.8602848502,-2337041.07754981,-36403.7842166232,0.509021655371017
BR0195,P001323,X001223188,1.2D+1.6L,-13342.1973566854,-2229841.20537452,32151.7216424726,1.05521378861226
BR0196,P011223,X001223188,1.2D+1.6L,-13028.4911656165,-2226256.33317179,-26515.5981026763,0.492368540182479
CO0025,P001324,P011324,0.3 Wind -X + Wind Y,-23925.3489653921,4164480.08075395,-16382185.2165384,0.88021051090538
BR0197,P001324,X001323250,1.2D+1.6L,-24492.4613634042,-1957484.5649926,-27526.585973459,0.471136475899049
BR0198,P011323,X001323250,1.2D+1.6L,-24242.0449152636,-1956708.61921491,-71124.035340639,1.30180229861229
BR0199,P001324,X001224203,1.2D+1.6L,-8561.63444592761,-480900.390988495,15334.4890468595,0.123023350512111
BR0200,P011224,X001224203,1.2D+1.6L,-8272.451559321,-474552.564749465,-29138.779276848,0.121387125720739
CO0026,P011115,P021115,0.3 Wind X + Wind -Y,-17640.3833164751,-4432446.15101743,16547481.1659035,0.892079427134973
BR0201,P011115,X011115263,0.3 Wind X + Wind -Y,-3100.4417345335,1717511.52353737,-50997.9936884818,0.359109619394737
BR0202,P021116,X011115263,0.3 Wind X + Wind -Y,-2803.47526231817,-3677633.12367588,-70516.1415491914,1.04170063098431
CO0027,P011116,P021116,0.3 Wind -X + Wind Y,-14197.8995053953,4432451.69424087,-13501425.3139439,0.761605870749911
BR0203,P011116,X011116267,0.3 Wind X + Wind -Y,-3660.51614217426,1482921.58810343,32044.9552221931,0.371170027979939
BR0204,P021117,X011116267,Wind X + 0.3 Wind -Y,-11032.8013205532,-1412036.83152955,26383.1396155356,0.320482994050959
BR0205,P011116,X011115263,0.3 Wind -X + Wind Y,-5926.09530570326,-1543548.27330469,33311.53360377,0.331913494823798
BR0206,P021115,X011115263,0.3 Wind -X + Wind Y,-5750.72253140438,3853736.3071964,29215.6001723751,0.887104039331951
BR0207,P011116,X011116271,0.3 Wind X + Wind -Y,-23068.4151458937,-8.53676361652681,104221.276873908,0.0894920167606415
BR0208,P011217,X011116271,0.3 Wind X + Wind -Y,-23068.4151458937,8.5367636165419,104221.411500744,0.089491746814681
CO0028,P011117,P021117,0.3 Wind -X + Wind Y,-16032.7449429933,4432438.49925767,-15266300.4594474,0.837043713757199
BR0211,P011117,X011116267,Wind -X + 0.3 Wind Y,-10820.2487609832,-1309772.76327891,-44989.0472718528,0.298839861670928
BR0212,P021116,X011116267,Wind -X + 0.3 Wind Y,-10529.6520234352,1430563.12408797,-62197.2555256725,0.32302794741317
CO0029,P011118,P021118,0.3 Wind X + Wind -Y,-17186.6365178832,-4429041.33471498,15715870.6873008,0.865920429112774
BR0215,P011118,X011118285,Wind -X + 0.3 Wind Y,-9579.72710840946,-774332.474958109,37632.6674665239,0.186056516542642
BR0216,P021218,X011118285,1.2D+1.6L,-1672.34300507927,-581285.935583633,-18375.6836190081,0.201620997435804
CO0030,P011119,P021119,Wind X + 0.3 Wind -Y,-47499.0026222081,3065844.71722059,9408570.80101044,0.592511136363685
BR0225,P011119,X011119298,0.3 Wind X + Wind -Y,9271.17741321985,-503899.602993065,57338.5862724449,0.125428146064299
BR0226,P021219,X011119298,1.2D+1.6L,1379.96996969959,-485184.929990463,-21003.7701185391,0.162761070985731
CO0031,P011120,P021120,0.3 Wind -X + Wind Y,-40975.5419605592,-1752495.29158218,16905400.2655419,1.10406771840066
BR0235,P011120,X011120311,0.3 Wind X + Wind -Y,11288.8318900407,-2316238.12773297,78224.258461907,1.10073707588957
BR0236,P021220,X011120311,0.3 Wind -X + Wind Y,-10918.7245283354,1718884.90945088,-163312.784407383,0.485938369164616
CO0032,P011121,P021121,Wind X + 0.3 Wind -Y,-15228.7374070809,-35773146.2940707,-6677515.89573654,0.753144418743938
BR0249,P011121,X011120313,0.3 Wind -X + Wind Y,878.309687318475,-7.77271819261826,73779.816555907,23.2197249058775
BR0250,P021120,X011120313,0.3 Wind -X + Wind Y,982.530945104597,0.998937830401505,73611.0663026772,23.2201855549344
CO0033,P011122,P021122,0.3 Wind X + Wind -Y,-14161.5323729187,-5226336.44199179,15565348.2176953,0.691372805887649
CO0034,P011123,P021123,0.3 Wind X + Wind -Y,-18482.8937530963,-4046580.58727573,15457091.7905382,0.831325261155735
BR0265,P011123,X011123350,1.2D+1.6L,5096.27739809838,-439512.976514749,-23486.9030364022,0.101838438847106
BR0266,P021223,X011123350,1.2D+1.6L,5388.64307442585,-455846.170818299,-54657.7918341457,0.170585164761162
BR0269,P011123,X011123354,Wind X + 0.3 Wind -Y,-11553.1725968698,42.9284547992482,104221.504426336,0.0554241283955672
BR0270,P011224,X011123354,Wind X + 0.3 Wind -Y,-11553.1725968698,-42.9284547992436,104222.279288187,0.0554243569070255
BR0279,P011217,X011217366,Wind X + 0.3 Wind -Y,-17175.0382614239,84.9317913935381,73699.9802135171,0.0655266649455105
BR0280,P021218,X011217366,Wind X + 0.3 Wind -Y,-17070.8170036448,-85.5424271590495,73697.5449525971,0.0655261629289248
CO0035,P011218,P021218,0.3 Wind X + Wind -Y,-28478.9130993125,-4669133.11096596,15552235.7027552,0.871136080851327
BR0283,P011218,X011218372,1.2D+1.6L,-5514.56639743603,-1026994.58537901,17182.8387301665,0.225293115257031
BR0284,P021219,X011218372,1.2D+1.6L,-5234.62602501229,-1017960.55018088,-33003.8078406917,0.290099155623652
BR0285,P011218,X011118285,Wind -X + 0.3 Wind Y,-3430.658003751,-948382.429916874,41287.6759939834,0.203339021599959
BR0286,P021118,X011118285,Wind X + 0.3 Wind -Y,4965.10896159173,-797521.640948229,-62459.4034118161,0.174623624205762
CO0036,P011219,P021219,0.3 Wind X + Wind -Y,-30252.2753151486,-5025859.14505004,15090117.2896517,0.868490373277211
BR0289,P011219,X011219381,1.2D+1.6L,-5581.702900039,-902921.686165079,20140.7287036528,0.200193305519782
BR0290,P021220,X011219381,1.2D+1.6L,-5310.57632762324,-892035.519275901,-25281.6660263284,0.197613454813621
BR0291,P011219,X011218372,1.2D+1.6L,-4130.12607691544,-1019074.37840878,17357.5816511189,0.219582228674775
BR0292,P021218,X011218372,1.2D+1.6L,-3849.69145738456,-1010040.34320786,-32654.3219988946,0.294461591082068
BR0293,P011219,X011119298,Wind -X + 0.3 Wind -Y,-23909.0704763083,-344495.05901444,123406.329294488,0.145016648366922
BR0294,P021119,X011119298,Wind -X + 0.3 Wind -Y,-23851.2154332931,-483499.120705727,142461.037029828,0.173307364247344
CO0037,P011220,P021220,0.3 Wind X + Wind -Y,-32929.6813189636,-4498787.71961319,15662757.257141,0.873035076610052
BR0297,P011220,X011220392,0.3 Wind -X + Wind Y,8102.87860598397,-2630234.86043573,-23994.1071249448,0.555432811932442
BR0298,P021221,X011220392,0.3 Wind -X + Wind Y,8368.49041076726,-2665277.34344789,-42489.7786536691,1.3513893590837
BR0299,P011220,X011219381,1.2D+1.6L,-5402.05153183299,-915808.126212408,20019.8213094653,0.202288726346739
BR0300,P021219,X011219381,1.2D+1.6L,-5131.25286036401,-905027.067668202,-25525.1419265425,0.268908234173815
BR0301,P011220,X011120311,0.3 Wind X + Wind -Y,-29637.3938645936,-1913613.25812574,101866.358662884,0.477989670705628
BR0302,P021120,X011120311,0.3 Wind X + Wind -Y,-29551.1691662374,-1812389.80260014,118290.110012832,1.44046313148755
CO0038,P011221,P021221,0.3 Wind -X + Wind Y,-12042.7146384769,-18637915.747622,-15436958.3956944,0.763595495894878
BE0060,P011221,P011321,0.3 Wind X + Wind -Y,14980.2320717708,0,125465.872252902,0.0194690828033451
BR0307,P011221,X011221405,0.3 Wind -X + Wind Y,-12289.362039545,-2369658.53271163,-14944.4834777017,1.61533775947004
BR0308,P021321,X011221405,0.3 Wind -X + Wind Y,-12070.1682866101,-2355296.25567771,12463.2635025329,0.515810313359722
BR0309,P011221,X011221407,0.3 Wind -X + Wind Y,1618.94952039151,-1958339.04914907,15354.0660818183,1.46140941573048
BR0310,P021222,X011221407,0.3 Wind X + Wind Y,-13332.6309164156,-1864161.51415435,28940.8124894981,0.419452302497738
