member_ID,start_node,end_node,size,PI,V2I,V3I,TI,M2I,M3I,PJ,V2J,V3J,TJ,M2J,M3J,add_back?
BE0025,P010002,P010003,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0026,P020002,P020003,HSS152.4X152.4X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0027,P030002,P030003,HSS139.7X139.7X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0028,P040002,P040003,HSS139.7X139.7X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0029,P050002,P050003,HSS139.7X139.7X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0030,P060002,P060003,HSS101.6X101.6X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0031,P070002,P070003,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0032,P080002,P080003,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0033,P090002,P090003,HSS152.4X152.4X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0034,P100002,P100003,HSS101.6X101.6X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0035,P110002,P110003,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0036,P120002,P120003,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0037,P010003,P010004,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0038,P020003,P020004,HSS152.4X152.4X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0039,P030003,P030004,HSS139.7X139.7X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0040,P040003,P040004,HSS139.7X139.7X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0041,P050003,P050004,HSS139.7X139.7X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0042,P060003,P060004,HSS101.6X101.6X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0043,P070003,P070004,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0044,P080003,P080004,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0045,P090003,P090004,HSS152.4X152.4X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0046,P100003,P100004,HSS101.6X101.6X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0047,P110003,P110004,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0048,P120003,P120004,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0049,P010004,P010005,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0050,P020004,P020005,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0051,P030004,P030005,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0052,P040004,P040005,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0053,P050004,P050005,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0054,P060004,P060005,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0055,P070004,P070005,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0056,P080004,P080005,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0057,P090004,P090005,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0058,P100004,P100005,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0059,P110004,P110005,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0060,P120004,P120005,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0061,P010005,P010006,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0062,P020005,P020006,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0063,P030005,P030006,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0064,P040005,P040006,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0065,P050005,P050006,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0066,P060005,P060006,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0067,P070005,P070006,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0068,P080005,P080006,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0069,P090005,P090006,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0070,P100005,P100006,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0071,P110005,P110006,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0072,P120005,P120006,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0001,P000000,P010001,HSS152.4X152.4X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0002,P010000,P000001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0003,P000001,P010002,HSS76.2X76.2X3.2,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0004,P010001,P000002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0005,P000002,P010003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0006,P010002,P000003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0007,P000003,P010004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0008,P010003,P000004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0009,P000004,P010005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0010,P010004,P000005,HSS76.2X76.2X3.2,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0011,P000005,P010006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0012,P010005,P000006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
