Tab_ID,Row_Num,Row_Item,T1_node_ID,T1.X,T1.Y,T1.Z,Tr.X,Tr.Y,Tr.Z,T2.X,T2.Y,T2.Z,K1_node_ID,K1.X,K1.Y,K1.Z,K2.X,K2.Y,K2.Z,Area,Area_X+,Area_X-,Area_Y+,Area_Y-,Exterior,Orientation,Workpath_Length,Workpath_Width 
TAB_0_10,0,10,TKNODE_20,16353254.4542,13445068.6712,60197.7485,16353327.2547,13443679.5560,60197.7485,16353327.2547,13443679.5560,60197.7485,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9549,0.2905,0.0000,0.5694,0.0000,TRUE,V,0.0000,1.5000, 
TAB_0_11,0,11,TKNODE_22,16353254.4542,13445068.6712,62197.7485,16353221.9197,13445689.4669,62197.7485,16353221.9197,13445689.4669,62197.7485,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,TRUE,V,0.0000,1.5000, 
TAB_0_12,0,12,TKNODE_24,16353254.4542,13445068.6712,62197.7485,16353254.4542,13445068.6712,62822.2821,16353254.4542,13445068.6712,62822.2821,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8246,0.3853,0.0000,1.2973,0.0000,TRUE,V,0.0000,1.5000, 
TAB_1_13,1,13,TKNODE_26,16351257.1952,13444963.9993,62197.7485,16351333.9462,13443499.5026,62197.7485,16351333.9462,13443499.5026,62197.7485,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4424,1.2285,0.0000,2.3113,0.0000,TRUE,V,0.0000,1.5000, 
TAB_1_14,1,14,TKNODE_28,16351257.1952,13444963.9993,60197.7485,16351388.0216,13442467.6821,60197.7485,16351388.0216,13442467.6821,60197.7485,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6904,2.5897,0.0000,4.2291,0.0000,TRUE,V,0.0000,1.5000, 
TAB_1_15,1,15,TKNODE_30,16351257.1952,13444963.9993,62197.7485,16351257.1952,13444963.9993,63303.2555,16351257.1952,13444963.9993,63303.2555,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9624,0.4344,0.0000,1.3315,0.0000,TRUE,V,0.0000,1.5000, 
TAB_2_16,2,16,TKNODE_32,16349364.6080,13442862.0683,60197.7485,16349364.6080,13442862.0683,62181.3607,16349364.6080,13442862.0683,62181.3607,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0389,2.3160,0.0000,4.0174,0.0000,TRUE,V,0.0000,1.5000, 
TAB_2_17,2,17,TKNODE_34,16349364.6080,13442862.0683,60197.7485,16349439.5014,13441433.0166,60197.7485,16349439.5014,13441433.0166,60197.7485,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3125,1.9688,0.0000,2.7967,0.0000,TRUE,V,0.0000,1.5000, 
TAB_2_18,2,18,TKNODE_36,16349259.9361,13444859.3273,62197.7485,16349259.9361,13444859.3273,63797.5254,16349259.9361,13444859.3273,63797.5254,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5316,0.8553,0.0000,1.5296,0.0000,TRUE,V,0.0000,1.5000, 
TAB_3_19,3,19,TKNODE_38,16347367.3489,13442757.3964,62197.7485,16347367.3489,13442757.3964,62784.3466,16347367.3489,13442757.3964,62784.3466,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1031,2.1298,0.0000,2.0397,0.0000,TRUE,V,0.0000,1.5000, 
TAB_3_20,3,20,TKNODE_40,16347367.3489,13442757.3964,62197.7485,16347432.8387,13441507.7778,62197.7485,16347432.8387,13441507.7778,62197.7485,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3984,0.9975,0.0000,1.6858,0.0000,TRUE,V,0.0000,1.5000, 
TAB_3_21,3,21,TKNODE_42,16347367.3489,13442757.3964,60197.7485,16347483.2834,13440545.2342,60197.7485,16347483.2834,13440545.2342,60197.7485,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4365,0.0000,0.0000,0.0000,0.0000,TRUE,V,0.0000,1.5000, 
TAB_3_22,3,22,TKNODE_44,16347262.6770,13444754.6554,62197.7485,16347262.6770,13444754.6554,64066.6870,16347262.6770,13444754.6554,64066.6870,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9621,0.3611,0.0000,1.4390,0.0000,TRUE,V,0.0000,1.5000, 
TAB_4_23,4,23,TKNODE_46,16345370.0899,13442652.7245,62197.7485,16345370.0899,13442652.7245,63138.0288,16345370.0899,13442652.7245,63138.0288,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0877,2.9859,0.0000,3.3204,0.0000,TRUE,V,0.0000,1.5000, 
TAB_4_24,4,24,TKNODE_48,16345474.7618,13440655.4654,60197.7485,16345474.7618,13440655.4654,61821.1346,16345474.7618,13440655.4654,61821.1346,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2323,2.9205,0.0000,3.2411,0.0000,TRUE,V,0.0000,1.5000, 
TAB_4_25,4,25,TKNODE_50,16345265.4180,13444649.9835,64197.7485,16345265.4180,13444649.9835,64432.8655,16345265.4180,13444649.9835,64432.8655,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2530,0.4062,0.0000,1.3996,0.0000,TRUE,V,0.0000,1.5000, 
TAB_5_26,5,26,TKNODE_52,16343372.8308,13442548.0525,62197.7485,16343372.8308,13442548.0525,63805.2091,16343372.8308,13442548.0525,63805.2091,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8553,2.5038,0.0000,2.6775,0.0000,TRUE,V,0.0000,1.5000, 
TAB_5_27,5,27,TKNODE_54,16343477.5027,13440550.7935,60197.7485,16343477.5027,13440550.7935,62351.2643,16343477.5027,13440550.7935,62351.2643,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2250,3.7067,0.0000,4.7794,0.0000,TRUE,V,0.0000,1.5000, 
TAB_5_28,5,28,TKNODE_56,16343268.1589,13444545.3116,64197.7485,16343268.1589,13444545.3116,64779.2840,16343268.1589,13444545.3116,64779.2840,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.1053,0.5466,0.0000,2.6643,0.0000,TRUE,V,0.0000,1.5000, 
TAB_6_29,6,29,TKNODE_58,16341375.5717,13442443.3806,62197.7485,16341375.5717,13442443.3806,64089.2290,16341375.5717,13442443.3806,64089.2290,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0450,2.1832,0.0000,3.6633,0.0000,TRUE,V,0.0000,1.5000, 
TAB_6_30,6,30,TKNODE_60,16341480.2436,13440446.1216,62197.7485,16341480.2436,13440446.1216,62732.3022,16341480.2436,13440446.1216,62732.3022,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6292,1.6248,0.0000,2.4557,0.0000,TRUE,V,0.0000,1.5000, 
TAB_6_31,6,31,TKNODE_62,16341480.2436,13440446.1216,62197.7485,16341532.5338,13439448.3666,62197.7485,16341532.5338,13439448.3666,62197.7485,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1686,0.4169,0.0000,0.6030,0.0000,TRUE,V,0.0000,1.5000, 
TAB_6_32,6,32,TKNODE_64,16341480.2436,13440446.1216,60197.7485,16341590.9655,13438333.4224,60197.7485,16341590.9655,13438333.4224,60197.7485,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4899,0.0000,0.0000,0.0000,0.0000,TRUE,V,0.0000,1.5000, 
TAB_6_33,6,33,TKNODE_66,16341270.8998,13444440.6397,64197.7485,16341270.8998,13444440.6397,65011.4039,16341270.8998,13444440.6397,65011.4039,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4603,0.7883,0.0000,2.5857,0.0000,TRUE,V,0.0000,1.5000, 
TAB_7_34,7,34,TKNODE_68,16339378.3127,13442338.7087,62197.7485,16339378.3127,13442338.7087,63916.4816,16339378.3127,13442338.7087,63916.4816,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4054,1.1508,0.0000,3.7966,0.0000,TRUE,V,0.0000,1.5000, 
TAB_7_35,7,35,TKNODE_70,16339482.9846,13440341.4496,62197.7485,16339482.9846,13440341.4496,62914.2004,16339482.9846,13440341.4496,62914.2004,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2992,1.8988,0.0000,2.3047,0.0000,TRUE,V,0.0000,1.5000, 
TAB_7_36,7,36,TKNODE_72,16339482.9846,13440341.4496,62197.7485,16339518.6490,13439660.9324,62197.7485,16339518.6490,13439660.9324,62197.7485,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9899,0.2621,0.0000,0.4244,0.0000,TRUE,V,0.0000,1.5000, 
TAB_7_37,7,37,TKNODE_74,16339482.9846,13440341.4496,60197.7485,16339590.0618,13438298.2952,60197.7485,16339590.0618,13438298.2952,60197.7485,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4569,0.0000,0.0000,0.0000,0.0000,TRUE,V,0.0000,1.5000, 
TAB_7_38,7,38,TKNODE_76,16339273.6408,13444335.9678,62197.7485,16339273.6408,13444335.9678,64248.5513,16339273.6408,13444335.9678,64248.5513,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0741,0.6511,0.0000,2.6207,0.0000,TRUE,V,0.0000,1.5000, 
TAB_8_39,8,39,TKNODE_78,16337381.0536,13442234.0368,62197.7485,16337381.0536,13442234.0368,62994.0606,16337381.0536,13442234.0368,62994.0606,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0324,0.3165,0.0000,3.9882,0.0000,TRUE,V,0.0000,1.5000, 
TAB_8_40,8,40,TKNODE_80,16337485.7255,13440236.7777,62197.7485,16337485.7255,13440236.7777,63029.1553,16337485.7255,13440236.7777,63029.1553,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3286,0.8189,0.0000,2.5496,0.0000,TRUE,V,0.0000,1.5000, 
TAB_8_41,8,41,TKNODE_82,16337485.7255,13440236.7777,62197.7485,16337528.7364,13439416.0813,62197.7485,16337528.7364,13439416.0813,62197.7485,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3238,0.8603,0.0000,0.5088,0.0000,TRUE,V,0.0000,1.5000, 
TAB_8_42,8,42,TKNODE_84,16337485.7255,13440236.7777,60197.7485,16337584.7539,13438347.2036,60197.7485,16337584.7539,13438347.2036,60197.7485,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5476,0.0000,0.0000,0.0000,0.0000,TRUE,V,0.0000,1.5000, 
TAB_8_43,8,43,TKNODE_86,16337276.3817,13444231.2959,62197.7485,16337276.3817,13444231.2959,62906.9400,16337276.3817,13444231.2959,62906.9400,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8728,0.4143,0.0000,1.9518,0.0000,TRUE,V,0.0000,1.5000, 
TAB_9_44,9,44,TKNODE_88,16335383.7945,13442129.3649,60197.7485,16335383.7945,13442129.3649,62141.4335,16335383.7945,13442129.3649,62141.4335,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0332,0.4226,0.0000,3.9749,0.0000,TRUE,V,0.0000,1.5000, 
TAB_9_45,9,45,TKNODE_90,16335488.4664,13440132.1058,60197.7485,16335488.4664,13440132.1058,62342.4125,16335488.4664,13440132.1058,62342.4125,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0733,3.0041,0.0000,5.6747,0.0000,TRUE,V,0.0000,1.5000, 
TAB_9_46,9,46,TKNODE_92,16335279.1226,13444126.6240,60197.7485,16335279.1226,13444126.6240,61866.9195,16335279.1226,13444126.6240,61866.9195,NONE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8798,0.3247,0.0000,1.9688,0.0000,TRUE,V,0.0000,1.5000, 
