member_ID,cross_section
BR0003,HSS76.2X3.2
BR0004,HSS76.2X3.2
BR0005,HSS101.6X3.2
BR0006,HSS101.6X3.2
BR0007,HSS76.2X3.2
BR0008,HSS76.2X3.2
BR0009,HSS76.2X3.2
BR0010,HSS76.2X3.2
BR0011,HSS76.2X3.2
BR0012,HSS76.2X3.2
BR0013,HSS76.2X3.2
BR0014,HSS76.2X3.2
BR0015,HSS76.2X3.2
BR0016,HSS76.2X3.2
BR0017,HSS76.2X3.2
BR0018,HSS76.2X3.2
BR0019,HSS76.2X3.2
BR0020,HSS76.2X3.2
BR0021,HSS76.2X3.2
BR0022,HSS76.2X3.2
BR0023,HSS76.2X3.2
BR0024,HSS76.2X3.2
BR0025,HSS76.2X3.2
BR0026,HSS76.2X3.2
BR0027,HSS76.2X3.2
BR0028,HSS76.2X3.2
BR0029,HSS76.2X3.2
BR0030,HSS76.2X3.2
BR0031,HSS76.2X3.2
BR0032,HSS76.2X3.2
BR0033,HSS76.2X3.2
BR0034,HSS76.2X3.2
BR0035,HSS76.2X3.2
BR0036,HSS76.2X3.2
BR0037,HSS76.2X3.2
BR0038,HSS76.2X3.2
BR0039,HSS76.2X3.2
BR0040,HSS76.2X3.2
BR0041,HSS76.2X3.2
BR0042,HSS76.2X3.2
BR0043,HSS76.2X3.2
BR0044,HSS76.2X3.2
BR0045,HSS76.2X3.2
BR0046,HSS76.2X3.2
BR0047,HSS76.2X3.2
BR0048,HSS76.2X3.2
BR0049,HSS76.2X3.2
BR0050,HSS76.2X3.2
BR0051,HSS76.2X3.2
BR0052,HSS76.2X3.2
BR0053,HSS76.2X3.2
BR0054,HSS76.2X3.2
BR0055,HSS76.2X3.2
BR0056,HSS76.2X3.2
BR0057,HSS76.2X3.2
BR0058,HSS76.2X3.2
BR0059,HSS76.2X3.2
BR0060,HSS76.2X3.2
BR0061,HSS76.2X3.2
BR0062,HSS76.2X3.2
BR0063,HSS76.2X3.2
BR0064,HSS76.2X3.2
BR0065,HSS76.2X3.2
BR0066,HSS76.2X3.2
BR0067,HSS76.2X3.2
BR0068,HSS76.2X3.2
BR0069,HSS76.2X3.2
BR0070,HSS76.2X3.2
BR0071,HSS76.2X3.2
BR0072,HSS76.2X3.2
BR0073,HSS76.2X3.2
BR0074,HSS76.2X3.2
BR0075,HSS76.2X3.2
BR0076,HSS76.2X3.2
BR0077,HSS76.2X3.2
BR0078,HSS76.2X3.2
BR0079,HSS76.2X3.2
BR0080,HSS76.2X3.2
BR0081,HSS76.2X3.2
BR0082,HSS76.2X3.2
BR0083,HSS76.2X3.2
BR0084,HSS76.2X3.2
BR0085,HSS76.2X3.2
BR0086,HSS76.2X3.2
BR0087,HSS76.2X3.2
BR0088,HSS76.2X3.2
BR0089,HSS76.2X3.2
BR0090,HSS76.2X3.2
BR0091,HSS76.2X3.2
BR0092,HSS76.2X3.2
BR0093,HSS76.2X3.2
BR0094,HSS76.2X3.2
BR0095,HSS76.2X3.2
BR0096,HSS76.2X3.2
BR0097,HSS76.2X3.2
BR0098,HSS76.2X3.2
BR0099,HSS76.2X3.2
BR0100,HSS76.2X3.2
BR0101,HSS76.2X3.2
BR0102,HSS76.2X3.2
BR0103,HSS76.2X3.2
BR0104,HSS76.2X3.2
BR0105,HSS76.2X3.2
BR0106,HSS76.2X3.2
BR0107,HSS76.2X3.2
BR0108,HSS76.2X3.2
BR0109,HSS76.2X3.2
BR0110,HSS76.2X3.2
BR0111,HSS76.2X3.2
BR0112,HSS76.2X3.2
BR0113,HSS76.2X3.2
BR0114,HSS76.2X3.2
BR0115,HSS76.2X3.2
BR0116,HSS76.2X3.2
BR0117,HSS76.2X3.2
BR0118,HSS76.2X3.2
BR0119,HSS76.2X3.2
BR0120,HSS76.2X3.2
BR0121,HSS76.2X3.2
BR0122,HSS76.2X3.2
BR0123,HSS76.2X3.2
BR0124,HSS76.2X3.2
BR0125,HSS76.2X3.2
BR0126,HSS76.2X3.2
BR0127,HSS76.2X3.2
BR0128,HSS76.2X3.2
BR0129,HSS76.2X3.2
BR0130,HSS76.2X3.2
BR0131,HSS76.2X3.2
BR0132,HSS76.2X3.2
BR0133,HSS76.2X3.2
BR0134,HSS76.2X3.2
BR0135,HSS76.2X3.2
BR0136,HSS76.2X3.2
BR0137,HSS76.2X3.2
BR0138,HSS76.2X3.2
BR0139,HSS76.2X3.2
BR0140,HSS76.2X3.2
BR0141,HSS76.2X3.2
BR0142,HSS76.2X3.2
BR0143,HSS76.2X3.2
BR0144,HSS76.2X3.2
