member_ID,start_node,end_node,size,PI,V2I,V3I,TI,PJ,V2J,V3J,TJ,M2I,M3I,M2J,M3J,add_back?
BE0033,P001320,P001321,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0173,P001320,X001320226,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0174,P011321,X001320226,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0175,P001320,X001319220,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0176,P011319,X001319220,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0177,P001320,X001220143,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0178,P011220,X001220143,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0022,P001321,P011321,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0034,P001321,P001322,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0179,P001321,X001321234,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0180,P011322,X001321234,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0181,P001321,X001320226,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0182,P011320,X001320226,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0183,P001321,X001221158,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0184,P011221,X001221158,HSS88.9X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0023,P001322,P011322,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0035,P001322,P001323,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0185,P001322,X001322242,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0186,P011323,X001322242,HSS88.9X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0187,P001322,X001321234,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0188,P011321,X001321234,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0189,P001322,X001222173,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0190,P011222,X001222173,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0024,P001323,P011323,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0036,P001323,P001324,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0191,P001323,X001323250,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0192,P011324,X001323250,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0193,P001323,X001322242,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0194,P011322,X001322242,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0195,P001323,X001223188,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0196,P011223,X001223188,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0025,P001324,P011324,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0197,P001324,X001323250,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0198,P011323,X001323250,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0199,P001324,X001224203,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0200,P011224,X001224203,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0026,P011115,P021115,HSS152.4X152.4X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0037,P011115,P011116,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0201,P011115,X011115263,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0202,P021116,X011115263,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0027,P011116,P021116,HSS152.4X152.4X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0038,P011116,P011117,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0203,P011116,X011116267,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0204,P021117,X011116267,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0205,P011116,X011115263,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0206,P021115,X011115263,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0207,P011116,X011116271,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0208,P011217,X011116271,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0028,P011117,P021117,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0039,P011117,P011217,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0040,P011117,P011118,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0209,P011117,X011117276,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0210,P021118,X011117276,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0211,P011117,X011116267,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0212,P021116,X011116267,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0213,P011117,X011117280,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0214,P011218,X011117280,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0029,P011118,P021118,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0041,P011118,P011218,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0042,P011118,P011119,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0215,P011118,X011118285,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0216,P021218,X011118285,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0217,P011118,X011118287,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0218,P021119,X011118287,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0219,P011118,X011117276,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0220,P021117,X011117276,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0221,P011118,X011118291,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0222,P011219,X011118291,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0223,P011118,X011117280,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0224,P011217,X011117280,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0030,P011119,P021119,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0043,P011119,P011219,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0044,P011119,P011120,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0225,P011119,X011119298,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0226,P021219,X011119298,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0227,P011119,X011119300,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0228,P021120,X011119300,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0229,P011119,X011118287,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0230,P021118,X011118287,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0231,P011119,X011119304,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0232,P011220,X011119304,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0233,P011119,X011118291,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0234,P011218,X011118291,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0031,P011120,P021120,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0045,P011120,P011220,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0046,P011120,P011121,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0235,P011120,X011120311,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0236,P021220,X011120311,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0237,P011120,X011120313,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0238,P021121,X011120313,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0239,P011120,X011119300,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0240,P021119,X011119300,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0241,P011120,X011120317,0,True,True,True,True,True,True,True,True,False,False,True,True,False
