member_ID,load_inverse
BR0126,1.38770744127e-16
BR0127,5.50963169429e-17
BR0128,5.50961134915e-17
BR0129,5.50962098837e-17
BR0130,5.50962205459e-17
BR0131,1.63441362035e-16
BR0132,1.60275100817e-16
BR0133,7.65522364488e-17
BR0134,7.91125880299e-17
BR0135,8.413697559e-17
BR0136,8.11934829361e-17
BR0137,1.5724754187e-16
BR0138,1.52398610068e-16
BR0139,5.5096123451e-17
BR0140,5.50961759936e-17
BR0141,5.50962098837e-17
BR0142,5.50962205459e-17
BR0143,1.98743967839e-16
BR0144,1.97175030844e-16
BR0145,9.05198799108e-17
BR0146,1.40375943745e-16
BR0147,8.66753170307e-17
BR0148,8.69798908663e-17
BR0149,1.7473307156e-16
BR0150,1.6773336146e-16
BR0151,5.50961480585e-17
BR0152,5.50961945718e-17
BR0153,5.50959485709e-17
BR0154,5.50960914753e-17
BR0155,1.20708045997e-16
BR0156,1.59996828409e-16
BR0157,7.97171932056e-17
BR0158,6.37535942595e-17
BR0159,1.11074356026e-16
BR0160,1.03661593505e-16
BR0161,1.77637213509e-16
BR0162,5.70626877269e-16
BR0163,5.50960000095e-17
BR0164,5.50960545246e-17
BR0165,8.2114927787e-17
BR0166,1.24550438739e-16
BR0167,5.50959545311e-17
BR0168,5.50959545311e-17
BR0169,1.31374133093e-16
BR0170,1.30210862201e-16
BR0171,1.53398867865e-16
BR0172,1.53850290297e-16
BR0173,1.45591906824e-16
BR0174,1.46299655199e-16
BR0175,7.97956841823e-17
BR0176,7.81517142385e-17
BR0177,1.63719540293e-16
BR0178,1.63532476548e-16
BR0179,1.48267373839e-16
BR0180,1.47344489713e-16
BR0181,7.9280671546e-17
BR0182,7.96399771914e-17
BR0183,1.84395554706e-16
BR0184,1.83363282813e-16
BR0185,3.18259755148e-16
BR0186,4.46451008708e-16
BR0187,8.14461307048e-17
BR0188,1.88455652961e-16
BR0189,2.0964504792e-16
BR0190,2.14157873147e-16
BR0191,8.84741676535e-17
BR0192,1.01525086591e-16
BR0193,2.3390921248e-16
BR0194,2.57581889736e-16
BR0195,2.3166704615e-16
BR0196,2.33516525701e-16
BR0197,3.61318744516e-16
BR0198,4.8621428407e-16
BR0199,1.25265669063e-16
BR0200,1.90560813462e-16
BR0201,1.27364244057e-15
BR0202,1.43504243276e-15
BR0203,1.19635798492e-15
