member_ID,cost
BR0377,28.2022468634
BR0378,28.2022468634
BR0379,28.2022468634
BR0380,28.2022468634
BR0381,28.2022468634
BR0382,37.2970542838
BR0383,28.2022468634
BR0384,28.2022468634
BR0385,28.2022468634
BR0386,28.2022468634
BR0387,28.2022468634
BR0388,28.2022468634
BR0389,28.3691240638
BR0390,37.2970542838
BR0391,28.2022468634
BR0392,28.2022468634
BR0393,28.2022468634
BR0394,28.2022468634
BR0395,28.2022468634
BR0396,37.2970542838
BR0397,28.2022468634
BR0398,28.2022468634
BR0399,28.2022468634
BR0400,28.2022468634
BR0401,28.2022468634
BR0402,28.2022468634
BR0403,28.2022468634
BR0404,28.2022468634
BR0405,37.2970542838
BR0406,45.6409143026
BR0407,28.2022468634
BR0408,28.2022468634
BR0409,37.2970542838
BR0410,45.6409143026
BR0411,28.2022468634
BR0412,28.2022468634
BR0413,28.2022468634
BR0414,28.2022468634
BR0415,28.2022468634
BR0416,28.2022468634
BR0417,28.2022468634
BR0418,28.2022468634
CO0001,30.444
CO0002,26.727
CO0003,26.727
CO0004,26.727
CO0005,26.727
CO0006,26.727
CO0007,26.727
CO0008,26.727
CO0009,26.727
CO0010,26.727
CO0011,26.727
CO0012,26.727
CO0013,26.727
CO0014,26.727
CO0015,26.727
CO0016,26.727
CO0017,26.727
CO0018,26.727
CO0019,26.727
CO0020,369.34
CO0021,26.727
CO0022,26.727
CO0023,26.727
CO0024,30.444
CO0025,26.727
CO0026,82.6
CO0027,79.06
CO0028,369.34
CO0029,369.34
CO0030,369.34
CO0031,26.727
CO0032,26.727
CO0033,26.727
CO0034,26.727
CO0035,26.727
CO0036,26.727
CO0037,26.727
CO0038,26.727
CO0039,26.727
CO0040,369.34
CO0041,369.34
CO0042,369.34
CO0043,369.34
CO0044,26.727
CO0045,369.34
CO0046,369.34
